"rank","token","centered_eta_norm","selected","document_frequency","mean_weight","variance"
105,"injury",5.46988028567639,TRUE,45,0.08945475165,0.07938320191
106,"nations",5.40495348755162,TRUE,36,0.1000003841,0.1135281182
107,"saturday",5.33989304711357,TRUE,44,0.1285725511,0.16569639
108,"data",5.33488555183688,TRUE,25,0.05830119004,0.05203151576
109,"many",5.26988054753649,TRUE,103,0.1487910496,0.08362828107
110,"world",5.1328244568121,TRUE,95,0.1845395834,0.1304585336
111,"based",4.79707722134667,TRUE,54,0.1087750513,0.09180754405
112,"injured",4.73315393626094,TRUE,39,0.08252455526,0.06564094195
113,"mail",4.73203109623874,TRUE,29,0.06470020865,0.06004936684
114,"best",4.67816520110793,TRUE,76,0.1117660131,0.0727766876
115,"early",4.62031860563994,TRUE,146,0.1592275395,0.05587289532
116,"downloads",4.61216029973824,TRUE,34,0.07064470719,0.06062899967
117,"nomination",4.57454584227326,TRUE,32,0.06326232722,0.04868135033
118,"video",4.54756180520876,TRUE,46,0.09532960448,0.08052895808
119,"games",4.51184446935068,TRUE,98,0.1881066541,0.129912487
120,"against",4.45516886669847,TRUE,102,0.1539074266,0.08938860407
121,"sports",4.32180286007024,TRUE,66,0.08658798958,0.05161421418
122,"australian",4.2958673142389,TRUE,31,0.1013683763,0.1238914618
123,"pop",4.2464759002574,TRUE,26,0.08918365555,0.1104686199
124,"portable",4.22119630378721,TRUE,18,0.06229057711,0.08583300277
125,"importance",4.22027246001876,TRUE,41,0.08070417886,0.06653622863
126,"died",4.2124330163131,TRUE,68,0.08099984625,0.04915538749
127,"latest",4.1749788744718,TRUE,99,0.1318985455,0.07856255528
128,"arsenal",4.14848527256098,TRUE,20,0.06730854058,0.1513935058
129,"aviator",4.13036945741808,TRUE,12,0.06692777541,0.1328878977
130,"half",4.05228196749698,TRUE,47,0.1433522602,0.1895177845
131,"host",4.0052462584779,TRUE,56,0.09994283015,0.09797573731
132,"gaming",3.97401156499721,TRUE,36,0.06469345625,0.05523249563
133,"director",3.85715261674746,TRUE,120,0.2127398567,0.1487678556
134,"bands",3.78801629615168,TRUE,42,0.06921201466,0.05035307935
135,"channel",3.74683281789828,TRUE,66,0.09243241163,0.06424461991
136,"beat",3.70053868116591,TRUE,55,0.1184657629,0.1071716918
137,"popularity",3.63580253344359,TRUE,62,0.08347148573,0.05487465672
138,"premiership",3.56253319752226,TRUE,13,0.06446719335,0.1140393894
139,"death",3.52296854800359,TRUE,44,0.0696601261,0.04963432193
140,"referee",3.4944559177461,TRUE,56,0.06593320425,0.0658189982
141,"hit",3.37976032253289,TRUE,70,0.1019723098,0.06534637227
142,"back",3.31089659544582,TRUE,88,0.156464619,0.10971957
143,"league",3.19124568971357,TRUE,23,0.06280665057,0.07002072116
144,"chip",3.16214621619198,TRUE,32,0.05117306019,0.04965495286
145,"olympic",3.16123214665773,TRUE,29,0.07793127671,0.09281994868
146,"michael",3.16074933828993,TRUE,26,0.07865033572,0.1074197206
147,"slam",3.05666303695256,TRUE,25,0.06252391999,0.08380227425
148,"age",2.80356373380497,TRUE,92,0.1939881207,0.1362962164
149,"fast",2.78713288817849,TRUE,33,0.05913567076,0.05245710599
150,"new",2.76221249214398,TRUE,98,0.1522674283,0.1006625668
151,"champions",2.61157785619838,TRUE,40,0.06648959993,0.04830986059
152,"british",2.57915260507869,TRUE,122,0.1941128991,0.1080430138
153,"audience",2.54907697379528,TRUE,60,0.07872384287,0.05815552929
154,"liverpool",2.5442264361009,TRUE,44,0.06701853349,0.07163308796
155,"electronics",2.33721656589429,TRUE,26,0.05188153577,0.05474886688
156,"irish",2.33417877822838,TRUE,35,0.1071932334,0.137314178
157,"kick",2.33246503148394,TRUE,49,0.07918234715,0.07506490876
158,"los",2.29576588753207,TRUE,23,0.06801989087,0.07353847519
159,"angeles",2.23687582642508,TRUE,25,0.05524351373,0.05269744
160,"sony",2.19160963630938,TRUE,23,0.08551299142,0.1166484407
161,"ibm",2.13781674686333,TRUE,15,0.04389270785,0.08017080328
162,"google",2.13773486982292,TRUE,15,0.0439590623,0.06555574904
163,"speed",2.11560725787322,TRUE,58,0.09229786653,0.06956478579
164,"television",2.08269791702125,TRUE,63,0.1049801346,0.06674447468
165,"wales",2.02366204929945,TRUE,20,0.07283645945,0.1219509871
166,"france",1.96072543704241,TRUE,75,0.1426044549,0.1215816993
167,"sunday",1.94944112298204,TRUE,35,0.1058572648,0.1210281898
168,"italian",1.92876767256642,TRUE,46,0.08593696687,0.09642005062
169,"stolen",1.90784027317558,TRUE,60,0.07179593578,0.04882857543
170,"chart",1.81522478589809,TRUE,34,0.07673045862,0.07296745996
171,"illegal",1.55992512799694,TRUE,61,0.08462335859,0.06259483683
172,"double",1.55818340015139,TRUE,29,0.1041720187,0.1476947253
173,"ipod",1.47181953740487,TRUE,10,0.04577996367,0.07686499106
174,"middlesbrough",1.4346088862513,TRUE,9,0.05353074471,0.1137905262
175,"suffered",1.42431189966403,TRUE,71,0.09892313268,0.07018729482
176,"manchester",1.40455806915236,TRUE,24,0.06090345871,0.08876340556
177,"release",1.26034765164875,TRUE,89,0.1142241251,0.06980871245
178,"penalty",1.15392593187175,TRUE,59,0.07711805375,0.05904469733
179,"former",1.14362918254925,TRUE,52,0.1034186237,0.0840438711
180,"broadband",1.12545378707918,TRUE,14,0.04352755421,0.06547287118
181,"lost",1.02633664538094,TRUE,65,0.1181148693,0.09176162307
182,"generation",0.994036892574085,TRUE,24,0.05960292406,0.05746213139
183,"xbox",0.966291244424161,TRUE,24,0.05451960202,0.08693849319
184,"anti",0.938121766265946,TRUE,25,0.08089603343,0.09886808034
185,"striker",0.93316650493125,TRUE,16,0.05296843933,0.08103283455
186,"giant",0.921144275421356,TRUE,25,0.0647530218,0.05969101388
187,"international",0.907100387574504,TRUE,53,0.1047473504,0.09087432519
188,"future",0.89794825439922,TRUE,32,0.08747387185,0.1009940109
189,"virus",0.836094839261301,TRUE,14,0.03919468893,0.05323346989
190,"rapper",0.727777603944371,TRUE,25,0.04753402313,0.05954307042
191,"keeper",0.692635675014939,TRUE,44,0.05265341809,0.05761189303
192,"her",0.641030719382324,TRUE,70,0.1026745197,0.06327084131
193,"failed",0.625824537905464,TRUE,173,0.1804925727,0.06579167856
194,"date",0.479862112505801,TRUE,160,0.1972117568,0.08291384538
195,"race",0.360782422801402,TRUE,52,0.08399985542,0.06697905433
196,"chris",0.329574158183792,TRUE,25,0.0785219082,0.1064888693
197,"tie",0.235353470079405,TRUE,21,0.05005416282,0.05912052287
198,"directors",0.218647634870682,TRUE,66,0.1026552425,0.06191488067
199,"popular",0.189750898272015,TRUE,46,0.0715987102,0.04911495309
200,"personal",0.163086964228825,TRUE,24,0.05093410448,0.05048366721
201,"hen",0.145906502926804,TRUE,9,0.04829712013,0.0966819691
202,"after",0.07215505448713,TRUE,65,0.08127356908,0.05350987242
203,"newcastle",0.0684192014665595,TRUE,18,0.05926432958,0.1118917922
204,"rock",0.0378821897440515,TRUE,25,0.05508617269,0.05765417671
205,"out",0.0163031633317303,TRUE,104,0.1827137159,0.1239001742
206,"indoor",0.00895501142725015,TRUE,11,0.04774047107,0.08290747884
