"target_eB","achieved_eB","n","scenario","method","reps","valid_reps","selected_q","common_q","decision_q","noise_q","TPR","FPR","Precision","F1","ARI","MSE_mu","MSE_kappa","MSE_eta","zero_support_refit_reps","elapsed_sec"
0.025,0.0254,300,"heterogeneous_kappa","E-L",50,50,197.96,3.92,16,178.04,1,0.989,0.081,0.15,0.884,0.001,58.728,2.445,0,2269.758
0.025,0.0242,1000,"equal_kappa","D-AGL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.935,0,1.189,0.066,0,4044.46
0.025,0.0242,1000,"equal_kappa","D-GL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.935,0,1.189,0.066,0,4044.46
0.025,0.0242,1000,"equal_kappa","D-L",50,50,199.58,4,16,179.58,1,0.998,0.08,0.148,0.92,0,5.123,0.676,0,4044.46
0.025,0.0242,1000,"equal_kappa","E-AGL",50,50,16.04,0,16,0.04,1,0,0.998,0.999,0.935,0.001,12.639,0.053,0,4044.46
0.025,0.0242,1000,"equal_kappa","E-GL",50,50,17.02,0.02,16,1,1,0.006,0.94,0.969,0.935,0.001,12.237,0.069,0,4044.46
0.025,0.0242,1000,"equal_kappa","E-L",50,50,197.56,3.96,16,177.6,1,0.987,0.081,0.15,0.92,0,5.004,0.675,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","D-AGL",50,50,20.06,3.9,16,0.16,1,0.022,0.798,0.887,0.935,0,1.044,0.065,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","D-GL",50,50,20.04,3.86,16,0.18,1,0.022,0.798,0.888,0.935,0,1.05,0.065,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","D-L",50,50,199.58,4,16,179.58,1,0.998,0.08,0.148,0.921,0,5.305,0.669,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","E-AGL",50,50,16.04,0,16,0.04,1,0,0.998,0.999,0.935,0,1.48,0.051,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","E-GL",50,50,17.2,0.04,16,1.16,1,0.007,0.93,0.964,0.934,0,1.412,0.07,0,4044.46
0.025,0.0254,1000,"heterogeneous_kappa","E-L",50,50,197.58,3.92,16,177.66,1,0.987,0.081,0.15,0.922,0,5.234,0.669,0,4044.46
0.05,0.0458,300,"equal_kappa","D-AGL",50,50,63.8,4,16,43.8,1,0.26,0.251,0.401,0.835,0.001,21.239,1.268,0,2527.349
0.05,0.0458,300,"equal_kappa","D-GL",50,50,41.8,4,16,21.8,1,0.14,0.383,0.554,0.863,0,12.611,0.78,0,2527.349
0.05,0.0458,300,"equal_kappa","D-L",50,50,199.8,4,16,179.8,1,0.999,0.08,0.148,0.786,0.001,62.983,2.701,0,2527.349
0.05,0.0458,300,"equal_kappa","E-AGL",50,50,16.76,0,16,0.76,1,0.004,0.955,0.977,0.875,0.002,56.269,0.231,0,2527.349
0.05,0.0458,300,"equal_kappa","E-GL",50,50,17.3,0.04,16,1.26,1,0.007,0.925,0.961,0.871,0.002,53.651,0.264,0,2527.349
0.05,0.0458,300,"equal_kappa","E-L",50,50,198.12,3.84,16,178.28,1,0.99,0.081,0.149,0.794,0.001,58.978,2.675,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","D-AGL",50,50,70.8,4,16,50.8,1,0.298,0.226,0.369,0.814,0.001,34.845,1.533,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","D-GL",50,50,44.06,4,16,24.06,1,0.152,0.363,0.533,0.853,0.001,15.226,0.857,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","D-L",50,50,199.6,4,16,179.6,1,0.998,0.08,0.148,0.764,0.002,78.39,2.897,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","E-AGL",50,50,18.24,0.04,16,2.2,1,0.012,0.877,0.935,0.868,0.002,26.23,0.288,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","E-GL",50,50,17.94,0.1,16,1.84,1,0.011,0.892,0.943,0.868,0.002,24.349,0.303,0,2527.349
0.05,0.0454,300,"heterogeneous_kappa","E-L",50,50,198.18,3.96,16,178.22,1,0.99,0.081,0.149,0.768,0.002,72.055,2.838,0,2527.349
0.05,0.0458,1000,"equal_kappa","D-AGL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.878,0,1.294,0.07,0,3962.33
0.05,0.0458,1000,"equal_kappa","D-GL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.878,0,1.294,0.07,0,3962.33
0.05,0.0458,1000,"equal_kappa","D-L",50,50,199.6,4,16,179.6,1,0.998,0.08,0.148,0.852,0,5.622,0.719,0,3962.33
0.05,0.0458,1000,"equal_kappa","E-AGL",50,50,16.12,0,16,0.12,1,0.001,0.993,0.996,0.879,0.002,67.761,0.058,0,3962.33
0.05,0.0458,1000,"equal_kappa","E-GL",50,50,17.04,0,16,1.04,1,0.006,0.939,0.969,0.879,0.002,67.027,0.072,0,3962.33
0.05,0.0458,1000,"equal_kappa","E-L",50,50,197.44,3.9,16,177.54,1,0.986,0.081,0.15,0.852,0,5.198,0.718,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","D-AGL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.875,0,1.069,0.067,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","D-GL",50,50,20,4,16,0,1,0.022,0.8,0.889,0.875,0,1.067,0.067,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","D-L",50,50,199.72,4,16,179.72,1,0.998,0.08,0.148,0.848,0.001,5.982,0.72,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","E-AGL",50,50,16.06,0,16,0.06,1,0,0.996,0.998,0.876,0.001,33.972,0.056,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","E-GL",50,50,17.3,0.02,16,1.28,1,0.007,0.925,0.961,0.876,0.001,32.906,0.075,0,3962.33
0.05,0.0454,1000,"heterogeneous_kappa","E-L",50,50,197.7,3.96,16,177.74,1,0.988,0.081,0.15,0.848,0.001,5.821,0.72,0,3962.33
0.1,0.1124,300,"equal_kappa","D-AGL",50,50,51.72,4,15.92,31.8,0.995,0.195,0.308,0.47,0.631,0.001,25.528,1.337,0,2999.871
0.1,0.1124,300,"equal_kappa","D-GL",50,50,33.48,4,15.94,13.54,0.996,0.095,0.476,0.644,0.671,0,414.544,2.736,0,2999.871
0.1,0.1124,300,"equal_kappa","D-L",50,50,199.52,4,16,179.52,1,0.997,0.08,0.148,0.429,0.002,99.572,4.392,0,2999.871
0.1,0.1124,300,"equal_kappa","E-AGL",50,49,16.98,0,15.54,1.44,0.971,0.008,0.915,0.942,0.7,0.004,214.935,0.348,1,2999.871
0.1,0.1124,300,"equal_kappa","E-GL",50,50,17.18,0.04,16,1.14,1,0.006,0.931,0.964,0.7,0.004,207.379,0.308,0,2999.871
0.1,0.1124,300,"equal_kappa","E-L",50,50,198.08,3.98,16,178.1,1,0.99,0.081,0.149,0.438,0.002,100.644,4.436,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","D-AGL",50,50,70.86,4,16,50.86,1,0.298,0.226,0.368,0.594,0.002,1088.587,7.104,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","D-GL",50,50,39.36,4,15.8,19.56,0.988,0.128,0.401,0.571,0.627,0.001,1863.241,9.682,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","D-L",50,50,199.62,4,16,179.62,1,0.998,0.08,0.148,0.526,0.002,167.295,4.516,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","E-AGL",50,50,21.48,0.12,14.88,6.48,0.93,0.036,0.693,0.794,0.681,0.004,132.035,0.814,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","E-GL",50,50,21.88,0.18,15.52,6.18,0.97,0.035,0.709,0.819,0.688,0.003,119.271,0.852,0,2999.871
0.1,0.1052,300,"heterogeneous_kappa","E-L",50,50,198.22,3.92,16,178.3,1,0.99,0.081,0.149,0.522,0.002,161.123,4.556,0,2999.871
0.1,0.1124,1000,"equal_kappa","D-AGL",50,50,20.02,4,16,0.02,1,0.022,0.799,0.888,0.72,0,1.545,0.083,0,4238.451
0.1,0.1124,1000,"equal_kappa","D-GL",50,50,20.1,4,16,0.1,1,0.022,0.796,0.886,0.719,0,1.545,0.085,0,4238.451
0.1,0.1124,1000,"equal_kappa","D-L",50,50,199.74,4,16,179.74,1,0.999,0.08,0.148,0.653,0.001,7.493,0.886,0,4238.451
0.1,0.1124,1000,"equal_kappa","E-AGL",50,50,16.24,0,16,0.24,1,0.001,0.985,0.993,0.72,0.003,246.446,0.069,0,4238.451
0.1,0.1124,1000,"equal_kappa","E-GL",50,50,17.34,0.04,16,1.3,1,0.007,0.923,0.96,0.719,0.003,239.691,0.088,0,4238.451
0.1,0.1124,1000,"equal_kappa","E-L",50,50,198.48,4,16,178.48,1,0.992,0.081,0.149,0.653,0.001,7.462,0.886,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","D-AGL",50,50,24.14,4,16,4.14,1,0.044,0.663,0.797,0.734,0,1.683,0.119,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","D-GL",50,50,25.12,4,16,5.12,1,0.05,0.637,0.778,0.734,0,6.341,0.159,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","D-L",50,50,199.98,4,16,179.98,1,1,0.08,0.148,0.66,0.001,18.228,1.068,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","E-AGL",50,50,21.66,0.18,16,5.48,1,0.031,0.739,0.85,0.735,0.003,146.764,0.114,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","E-GL",50,50,20.36,0.06,16,4.3,1,0.024,0.786,0.88,0.736,0.003,149.981,0.12,0,4238.451
0.1,0.1052,1000,"heterogeneous_kappa","E-L",50,50,199.28,4,16,179.28,1,0.996,0.08,0.149,0.662,0.001,19.006,1.075,0,4238.451
