"artifact_type","relative_path","bytes","sha256"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n1000_rep100_path240_260712_raw.csv","468480","643D46D0AED4C8975C499670A714D9408564B0FD26200CFAF763D321A71464CE"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n1000_rep100_path240_260712_status.csv","234","6B5CD16FBDC396C609D66FAD23CCCD3A13CEC2DFC80E31B64A16AFC1B84C9F1B"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712_calibration.csv","421","17E0FF6A6A1F1F760BC7B46B44D63FB0DD41605934E6BA25E7F79D7DCAEF354E"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712_candidate_supports.csv","3181329","02013B82DAF37AA0971F859AEEB08D6E326C4FAB4FE1CA06D795C2DD1959D359"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712_complete.ok","117","E0BF265938FF2BA4BD7832AB592E79DD968D175CEFA8DA579ADA497384A7DF27"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712_raw.csv","471479","6D92412D0A30BC92734E095EFF52F43B88F1DF6ABC02F077BBE3269108CE3D70"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712_status.csv","233","EF53C54977AB8990F69F8ECF0961FB39060C3AE9BD89BDF82D2CEBD08A80D609"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712_calibration.csv","418","F583F97B73983FCA6436254B7586E0A0E0417C4F46919804EE85A6084C0D12C8"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712_candidate_supports.csv","3256631","B20006A84B1292819B92211CD7D2DB3678E3318820CF65903398233EFB0BA84C"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712_complete.ok","118","EE8ADE8BB73256FE4846F7DD4CE57B2A9D2251F084D3F823A48445BC87DEE91B"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712_raw.csv","467833","45003D41CD08593E2FF3973605726105DEDDB076E11043B3F76E778BF1252671"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712_status.csv","234","2F1A0EF9E003D0A88A59B6237B7F0A302EBBAB4C4BC8DD82E9284A0014B8FA9D"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712_calibration.csv","418","F583F97B73983FCA6436254B7586E0A0E0417C4F46919804EE85A6084C0D12C8"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712_candidate_supports.csv","4049432","02230193272331FD7759E6E99178B0F8A8DFE1F22C9697B509406E5B435BBA71"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712_complete.ok","117","FAD64D70A7B2CFE66D86B5DC961F40FE0F91EECBCF71DCC6EEE439F3D92E442B"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712_raw.csv","474960","EDD768B3249DD6515B0344591B20F71C82A250A309D2E7F91B8C86A70DAC5A5C"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712_status.csv","233","A5CAE025228DADD498956ACE2D7E0B45986058AC7A197CBC70262FD4DFCE75AA"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712_calibration.csv","437","575CA46595B1557B560F1E2748899463042CE4DA8D8CF3547106B0F34CA70AF3"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712_candidate_supports.csv","3190174","F1F0D6811F56BF2BF504C991D16B297A669CD9BAA52122DE78F4CC3CFCE0CECA"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712_complete.ok","120","4621808507AD94BF75206A332570D9D158A6ED92C284FFD258078F72E680394C"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712_raw.csv","481382","56FC4142889C73C8BFC8A1EBD8F0D5E4F6B39589D1D6688AD89BD61EDCD20774"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712_status.csv","242","A4C654A91D3C07C34BCF832963F93A9CFC726287A553E791C6BD0E3DE40012E3"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712_calibration.csv","437","575CA46595B1557B560F1E2748899463042CE4DA8D8CF3547106B0F34CA70AF3"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712_candidate_supports.csv","3217426","4CDFBBC9CE4BB147B722DA055D7213196DCE0779F9E3118FB084E285A81B428E"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712_complete.ok","119","7F581F4363A67F1A6E01D3FC56525EFE6B1DDE36A21E9D48D952461CEC74BE04"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712_raw.csv","488649","065489DF1B7AFE07D9A18E1C9DA9C0A8A282F88659B010F51B1B01FC5FB671E9"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712_status.csv","241","F43ECE23CF1F61F8EC985EBCA7B2DB1133B4C1DC4BE4FA9F72F6F65938DA0D8C"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712_calibration.csv","437","DA57023B57BE5C61C56F11F6DA36C573FC7282C6DF0B480CC4D64B9C5D6583D5"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712_candidate_supports.csv","3223092","875566C1BB72A44FA9B2D798165C3B59CF7329C08702B460C6E317B36BE8D0D1"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712_complete.ok","119","CB1F12D56393C95B83AB83E227006283C151B669F38CCED8F274B0D9D51783DC"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712_raw.csv","480536","23CCF86FF4E34998673330C2C73877973A874471034B21CC6467EB6D682A2034"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712_status.csv","239","F45E2284FDB885DB2E1A44D33D342D8E5B147AACA1982BDE8133FFA38ED1635B"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712_calibration.csv","437","DA57023B57BE5C61C56F11F6DA36C573FC7282C6DF0B480CC4D64B9C5D6583D5"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712_candidate_supports.csv","3992259","0DFA580806D3859B2B0F2302F27657808FF320B8A2E218C826932A02459EDBCE"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712_complete.ok","118","F2A7FBFF4311F99FBF98096A45825CCACEB73D5C9B45D980BAEDE18B818D1B83"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712_raw.csv","487827","72AAB3E9615BF844FD7285D32EC4A2C2C8A2BFCD139D9318260E544C8B28258F"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712_status.csv","241","752B30A0C8AD9B587679004DFEB6DD32B6EC1F2429761066F5026823842B382D"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712_calibration.csv","434","33FA6AA8B92EC36A0DC2BA1AC68E74D3A01F268859C0718AA5DA126FE00300CF"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712_candidate_supports.csv","3311537","62965F51F52B98E31D992857D45210607D2479BE6054146AAFCF61557E31097C"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712_complete.ok","119","8577F687FF0BB831342B22DEB63D22130B784B2D4E6C65506BBC6C8447FE39F8"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712_raw.csv","482620","BC3042035B1B9FE90CB609480E2A44301E48E678AE6EB00FC4B0B727CA8635B5"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712_status.csv","242","22DB9AC01C2C2FB9EF147D24120D5DE038613046D5A917B657B8000B58CB2E79"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712_calibration.csv","434","33FA6AA8B92EC36A0DC2BA1AC68E74D3A01F268859C0718AA5DA126FE00300CF"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712_candidate_supports.csv","4080484","B8D45A132FAD094920F00ACAB9280000AE20C486D83B5FEE480D88EFE194FB5E"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712_complete.ok","118","F9BA659D069767B808D6C94CD88BC1CE4B27293858ED429AEA08A34181B3FCC4"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712_raw.csv","495678","6C0ABF6815C9F3E6AD8515E8B444597DD85B371A24E5E5D2D488DB3CA2E11523"
"cell_input","results\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712\paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712_status.csv","240","8737A2E2F202062CA8739E26CA4BAA6B1A85DF2BACB7CCB88C1D7CF09AE7F124"
"code","r\methods\eta_centered_exact_refit_260711.r","9617","46C530879FB7B9E25C1DF68D129EAF25D7EC7CEE511F14170EFF15381305E5FB"
"code","r\rcpp\eta_helpers.cpp","2978","7AB94DD2820C6C2D5CFF78AB69FE9A6900B68453E375D46EB1206D88523A919C"
"code","r\rcpp\vmf_e_step_helpers.cpp","2185","496FBD0FC58EA7D1B326B0CC6FF3720E840D013234AA65FCA00E82D634F568FE"
"code","r\simulation\audit_studyb_close_bic_pairs_260712.r","7184","28EF9E3726E0F0DD917FD9605455CE122A61CC12C9F55C3A0BD9B8E9FACA7AF1"
"code","r\simulation\paper_eta_first_s1_run_260702.r","41203","16AF18CF658A2422E60CC6670C27B009B5B00B727CADD7B9D5C1D74FD8930447"
"code","r\simulation\paper_eta_studyb_confirmatory_v2_260711.r","27962","FF50239F2481DC248C532A8239663D92BA1B6CEF5D4A472ECC14C27EA6AE697C"
"code","r\simulation\summarize_studyb_v2_guard40_rep100_260712.r","20841","05E70CDBA28A574EC4F99A9F8B85921AD5BB9BFA0D33658707D20DEFD457A1FE"
"code","scripts\run_studyb_exactB_rep100_260711.ps1","6909","C2E74743022632FFA577C41091C946292BACB83C416AEF7D3159B9A4178B0606"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_close_bic_pairs_for_tight_audit.csv","2803","A2996B1545B6277EAE9ED75DD764CF734DB06ACCCEF2C235A3D4C036D60D9A5C"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_close_bic_tight_audit.md","496","1ED36A38FC4BDEEA930FF5BBF5423EC72CE888D0D8B841EC46EE2090F54ACA0E"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_close_bic_tight_comparison.csv","1398","E8B64F68976A5F2506FB305CCA12A46C931126B8F7FC3ED22F6FC101AA14A10A"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_close_bic_tight_refits.csv","5545","CCB668A33D57E225DA3209A6940F118326736281E4F49027A81FF3AFD8828E08"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_guard40_all6_rep100_calibration.csv","3581","90E55320D8011128A8539D6EC20BD3623F3E1EBED055275B3FA4F24279DE5955"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_guard40_all6_rep100_notes.md","1597","47970A1FD8398E9EEA095A80C170C2BB65A2FB19E97AEC01754B5AE3BA969283"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_guard40_all6_rep100_paired_e_methods.csv","7867","53455FA0D5D16EB6AE9299BC1DF493E517F162778B8F3D0C0E6EC4EFF073A71F"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_guard40_all6_rep100_qa.csv","4019","7E5F38351D5158AFAECDB8B0C8CF014A3892237BF26B24B886563DD9415D1B85"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_guard40_all6_rep100_summary.csv","49210","9BCBB39CC9C9C57882348D0AB981706DE8E90D9045E44A880F9AE4A388171128"
"integrated_output","results\paper_eta_studyb_v2_refitB_guard40_all6_rep100_260712\studyb_guard40_retry_impact.csv","965","ED03798FDD44F27CBA454F07FED92754CFAAEB6B1E2FCB3FA8438ED61779D434"
